choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;LADE_TANK_ZEIT_0_0;LADE_TANK_ZEIT_1_0;LADE_TANK_ZEIT_2_0;LADE_TANK_ZEIT_3_0;MEAN_HH_AGE_0_0;MEAN_HH_AGE_1_0;MEAN_HH_AGE_2_0;MEAN_HH_AGE_3_0;RELATIVER_KAUFPREIS_0_0;REICHWEITE_DURCH100_0_0;RELATIVER_KAUFPREIS_1_0;REICHWEITE_DURCH100_1_0;RELATIVER_KAUFPREIS_2_0;REICHWEITE_DURCH100_2_0;RELATIVER_KAUFPREIS_3_0;REICHWEITE_DURCH100_3_0
0;0;1;0;0;1;1;1;0;2;25;2;57.5;57.5;57.5;57.5;0;0;7.058823529;7;12.94117647;2.5;17.64705882;8
0;0;1;0;0;1;1;0;0;2;10;0;59;59;59;59;0;0;28.88888889;9;11.11111111;2.5;0;0
0;0;0;1;0;1;1;1;0;2;25;2;36;36;36;36;0;0;13.68421053;9;7.368421053;4.5;9.473684211;4
1;0;0;0;1;1;1;0;2;2;10;0;63;63;63;63;15.55555556;5;20;7;28.88888889;6.5;0;0
0;1;0;0;1;1;1;0;2;2;20;0;21.2;21.2;21.2;21.2;12.72727273;5;12.72727273;9;20;4.5;0;0
1;0;0;0;1;1;0;1;2;2;0;2;28.33333333;28.33333333;28.33333333;28.33333333;42.22222222;7;13.33333333;9;0;0;20;4
0;0;1;0;0;1;1;0;0;2;25;0;30;30;30;30;0;0;54.28571429;5;31.42857143;6.5;0;0
0;0;0;1;0;0;1;1;0;0;20;2;49;49;49;49;0;0;0;0;16.25;6.5;11.25;6
0;1;0;0;0;1;1;1;0;2;10;2;33.2;33.2;33.2;33.2;0;0;7.058823529;7;10.58823529;2.5;10.58823529;8
0;0;1;0;1;0;1;1;2;0;15;2;44;44;44;44;6.666666667;9;0;0;11.11111111;4.5;6.666666667;4
0;0;0;1;1;0;1;1;2;0;25;2;23.25;23.25;23.25;23.25;11.57894737;9;0;0;3.157894737;4.5;8.421052632;4
0;0;0;1;0;0;1;1;0;0;10;2;59;59;59;59;0;0;0;0;10.4;6.5;8.8;6
0;0;1;0;1;0;1;0;2;0;25;0;36;36;36;36;3.703703704;7;0;0;6.666666667;6.5;0;0
0;0;1;0;0;0;1;1;0;0;10;2;52.66666667;52.66666667;52.66666667;52.66666667;0;0;0;0;10.47619048;2.5;7.619047619;6
0;1;0;0;0;1;1;1;0;2;25;2;39.66666667;39.66666667;39.66666667;39.66666667;0;0;6.956521739;9;7.826086957;2.5;7.826086957;6
1;0;0;0;1;0;1;1;2;0;25;2;14;14;14;14;15.78947368;7;0;0;7.368421053;2.5;15.78947368;8
0;0;1;0;0;1;1;0;0;2;25;0;69;69;69;69;0;0;20;5;16.36363636;6.5;0;0
0;0;1;0;0;1;1;0;0;2;10;0;38.66666667;38.66666667;38.66666667;38.66666667;0;0;12.59259259;7;8.148148148;2.5;0;0
0;1;0;0;1;1;1;0;2;2;5;0;32.33333333;32.33333333;32.33333333;32.33333333;6.111111111;9;6.111111111;7;3.333333333;2.5;0;0
0;0;1;0;1;0;1;0;2;0;20;0;26;26;26;26;7.692307692;5;0;0;20;6.5;0;0
0;0;0;1;1;1;0;1;2;2;0;2;32.33333333;32.33333333;32.33333333;32.33333333;3.157894737;5;11.57894737;7;0;0;11.57894737;8
0;0;1;0;0;1;1;1;0;2;5;2;28;28;28;28;0;0;16.92307692;5;16.92307692;4.5;16.92307692;8
0;0;1;0;0;1;1;1;0;2;25;2;63;63;63;63;0;0;22.22222222;7;24.44444444;2.5;20;8
1;0;0;0;1;0;1;0;2;0;5;0;55;55;55;55;15.29411765;5;0;0;9.411764706;2.5;0;0
1;0;0;0;1;0;1;1;2;0;5;2;61;61;61;61;25.33333333;5;0;0;9.333333333;4.5;12;8
0;0;0;1;1;1;0;1;2;2;0;2;58;58;58;58;20;7;31.42857143;5;0;0;25.71428571;8
0;0;0;1;0;1;1;1;0;2;15;2;46.33333333;46.33333333;46.33333333;46.33333333;0;0;6.666666667;7;14.28571429;6.5;7.619047619;8
0;0;1;0;0;0;1;1;0;0;5;2;25;25;25;25;0;0;0;0;9.333333333;2.5;13.33333333;6
0;0;1;0;1;0;1;0;2;0;15;0;25.2;25.2;25.2;25.2;7.222222222;9;0;0;3.888888889;6.5;0;0
0;1;0;0;1;1;0;1;2;2;0;2;21.75;21.75;21.75;21.75;8;5;17.33333333;9;0;0;22.66666667;6
0;0;0;1;1;0;1;1;2;0;25;2;28;28;28;28;10.47619048;7;0;0;6.666666667;6.5;8.571428571;4
0;1;0;0;1;1;1;0;2;2;20;0;36;36;36;36;68;7;28;9;44;2.5;0;0
0;1;0;0;1;1;0;1;2;2;0;2;14;14;14;14;11.57894737;5;3.157894737;9;0;0;11.57894737;6
0;0;1;0;1;1;1;0;2;2;20;0;49.5;49.5;49.5;49.5;23.63636364;7;23.63636364;5;27.27272727;4.5;0;0
1;0;0;0;1;0;1;1;2;0;20;2;49;49;49;49;16.25;5;0;0;3.75;4.5;16.25;8
0;0;0;1;1;0;1;1;2;0;20;2;49;49;49;49;24.44444444;9;0;0;24.44444444;2.5;20;6
0;0;1;0;1;1;1;0;2;2;10;0;72.5;72.5;72.5;72.5;8.235294118;9;12.94117647;5;8.235294118;4.5;0;0
0;0;0;1;1;0;1;1;2;0;10;2;32.5;32.5;32.5;32.5;4.347826087;7;0;0;11.30434783;6.5;6.956521739;6
0;0;1;0;0;1;1;0;0;2;25;0;40;40;40;40;0;0;22.66666667;7;8;6.5;0;0
0;0;1;0;0;1;1;0;0;2;10;0;26.5;26.5;26.5;26.5;0;0;12.38095238;7;6.666666667;6.5;0;0
0;0;0;1;1;0;1;1;2;0;20;2;44;44;44;44;20;7;0;0;15.38461538;2.5;23.07692308;8
0;0;1;0;1;1;1;0;2;2;10;0;22;22;22;22;14.28571429;7;37.14285714;5;22.85714286;4.5;0;0
0;0;1;0;0;1;1;0;0;2;10;0;65.5;65.5;65.5;65.5;0;0;10;7;10;6.5;0;0
0;0;0;1;1;0;1;1;2;0;15;2;23.25;23.25;23.25;23.25;5.263157895;5;0;0;11.57894737;6.5;9.473684211;6
0;1;0;0;1;1;1;0;2;2;20;0;23.5;23.5;23.5;23.5;12.94117647;9;10.58823529;7;8.235294118;2.5;0;0
0;0;1;0;1;0;1;1;2;0;5;2;59;59;59;59;28.88888889;9;0;0;24.44444444;4.5;37.77777778;4
1;0;0;0;1;1;1;0;2;2;10;0;28.5;28.5;28.5;28.5;8.965517241;5;7.586206897;7;10.34482759;6.5;0;0
1;0;0;0;1;0;1;1;2;0;10;2;48;48;48;48;5.6;5;0;0;8.8;6.5;10.4;6
1;0;0;0;1;1;0;1;2;2;0;2;33.66666667;33.66666667;33.66666667;33.66666667;10;7;8.571428571;5;0;0;15.71428571;8
1;0;0;0;1;1;1;0;2;2;5;0;20;20;20;20;15.55555556;7;15.55555556;5;37.77777778;6.5;0;0
1;0;0;0;1;0;1;1;2;0;15;2;41;41;41;41;4.761904762;7;0;0;14.28571429;6.5;8.571428571;8
0;0;1;0;0;0;1;1;0;0;5;2;66;66;66;66;0;0;0;0;110;4.5;110;8
0;0;1;0;1;0;1;1;2;0;5;2;56;56;56;56;12.38095238;7;0;0;6.666666667;2.5;8.571428571;4
0;0;0;1;1;0;1;1;2;0;5;2;25;25;25;25;5.454545455;9;0;0;12.72727273;4.5;20;4
0;1;0;0;1;1;0;1;2;2;0;2;31.33333333;31.33333333;31.33333333;31.33333333;23.07692308;5;10.76923077;9;0;0;12.30769231;6
0;0;1;0;1;0;1;0;2;0;20;0;19;19;19;19;44;7;0;0;44;2.5;0;0
0;1;0;0;0;1;0;1;0;2;0;2;24.5;24.5;24.5;24.5;0;0;6.666666667;9;0;0;20;6
0;0;1;0;0;1;1;1;0;2;20;2;51.5;51.5;51.5;51.5;0;0;15.55555556;9;15.55555556;4.5;24.44444444;4
0;0;1;0;1;0;1;0;2;0;20;0;41;41;41;41;15.29411765;9;0;0;12.94117647;2.5;0;0
0;0;1;0;0;1;1;0;0;2;25;0;56;56;56;56;0;0;14.28571429;9;10.47619048;2.5;0;0
0;0;1;0;1;1;1;0;2;2;10;0;20.66666667;20.66666667;20.66666667;20.66666667;7.368421053;9;20;7;11.57894737;2.5;0;0
0;0;1;0;0;1;1;0;0;2;20;0;49.25;49.25;49.25;49.25;0;0;15.29411765;7;7.058823529;2.5;0;0
0;0;1;0;0;1;1;1;0;2;15;2;40;40;40;40;0;0;13.33333333;9;6.666666667;2.5;22.66666667;6
0;0;1;0;1;0;1;1;2;0;20;2;57.5;57.5;57.5;57.5;7.222222222;5;0;0;9.444444444;6.5;5;6
0;1;0;0;0;1;1;1;0;2;25;2;22;22;22;22;0;0;25.71428571;7;20;2.5;31.42857143;8
1;0;0;0;1;0;0;1;2;0;0;2;31;31;31;31;3.888888889;9;0;0;0;0;4.444444444;6
0;0;0;1;0;1;1;1;0;2;5;2;48;48;48;48;0;0;15.78947368;5;7.368421053;2.5;9.473684211;8
0;1;0;0;0;1;1;0;0;2;10;0;39;39;39;39;0;0;16.19047619;7;10.47619048;2.5;0;0
0;0;0;1;1;0;1;1;2;0;25;2;36;36;36;36;6.086956522;9;0;0;9.565217391;4.5;9.565217391;4
0;0;0;1;0;1;1;1;0;2;5;2;39.33333333;39.33333333;39.33333333;39.33333333;0;0;18.57142857;5;10;6.5;21.42857143;4
0;0;0;1;1;1;0;1;2;2;0;2;54;54;54;54;9.333333333;9;17.33333333;5;0;0;10.66666667;6
1;0;0;0;1;0;1;1;2;0;15;2;58.5;58.5;58.5;58.5;20;5;0;0;12.72727273;6.5;16.36363636;6
0;0;1;0;0;1;1;1;0;2;20;2;22.75;22.75;22.75;22.75;0;0;12.94117647;5;7.058823529;4.5;10.58823529;8
0;0;0;1;0;1;1;1;0;2;10;2;30.6;30.6;30.6;30.6;0;0;9.333333333;5;14.66666667;4.5;20;8
1;0;0;0;1;0;1;1;2;0;25;2;59.5;59.5;59.5;59.5;6.666666667;7;0;0;10.47619048;6.5;14.28571429;4
0;1;0;0;0;1;1;0;0;2;15;0;12.25;12.25;12.25;12.25;0;0;4.285714286;5;15.71428571;4.5;0;0
0;0;1;0;0;1;1;1;0;2;25;2;29;29;29;29;0;0;10.76923077;7;10.76923077;6.5;23.07692308;4
1;0;0;0;1;0;1;0;2;0;15;0;30.33333333;30.33333333;30.33333333;30.33333333;20;5;0;0;6.315789474;6.5;0;0
0;0;1;0;1;0;1;1;2;0;10;2;67;67;67;67;20;7;0;0;27.27272727;4.5;27.27272727;8
0;0;1;0;0;1;1;0;0;2;5;0;40.66666667;40.66666667;40.66666667;40.66666667;0;0;31.42857143;9;17.14285714;2.5;0;0
0;0;1;0;0;1;1;1;0;2;20;2;28;28;28;28;0;0;7.692307692;9;23.07692308;4.5;13.84615385;4
0;0;0;1;1;1;0;1;2;2;0;2;18.5;18.5;18.5;18.5;9.333333333;9;25.33333333;5;0;0;12;6
0;0;0;1;1;1;0;1;2;2;0;2;33.4;33.4;33.4;33.4;31.42857143;7;20;5;0;0;28.57142857;8
